"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2020","52.26","49.06","52.90","49.06","2.96M","8.42%"
"07/20/2020","48.20","47.92","49.37","47.89","1.99M","0.69%"
"07/17/2020","47.87","49.05","49.80","47.71","1.50M","-1.64%"
"07/16/2020","48.67","48.20","49.42","47.29","1.37M","0.02%"
"07/15/2020","48.66","48.80","49.06","46.97","3.03M","2.49%"
"07/14/2020","47.48","45.08","47.60","44.78","2.13M","4.74%"
"07/13/2020","45.33","45.26","46.58","44.02","2.20M","0.96%"
"07/10/2020","44.90","44.38","45.62","44.14","2.62M","0.49%"
"07/09/2020","44.68","48.99","49.20","44.62","4.38M","-9.41%"
"07/08/2020","49.32","48.46","49.70","48.14","1.94M","1.99%"
"07/07/2020","48.36","48.79","49.92","48.14","1.91M","-2.28%"
"07/06/2020","49.49","52.46","52.46","48.82","2.75M","-3.88%"
"07/02/2020","51.49","51.20","52.08","51.00","1.85M","3.29%"
"07/01/2020","49.85","51.72","52.30","49.54","1.85M","-3.78%"
"06/30/2020","51.81","49.31","52.19","49.31","2.21M","3.74%"
"06/29/2020","49.94","48.88","49.96","48.42","1.64M","3.01%"
"06/26/2020","48.48","49.92","50.08","48.20","2.67M","-4.25%"
"06/25/2020","50.63","48.59","50.71","48.01","1.50M","3.41%"
"06/24/2020","48.96","51.53","51.80","48.90","1.97M","-6.58%"
"06/23/2020","52.41","52.50","53.72","52.31","2.21M","1.14%"
"06/22/2020","51.82","50.94","51.97","50.17","1.93M","1.13%"
"06/19/2020","51.24","53.55","53.55","51.24","4.85M","-0.79%"
"06/18/2020","51.65","49.87","51.99","49.65","2.14M","2.46%"
"06/17/2020","50.41","51.94","52.06","50.41","1.86M","-3.45%"
"06/16/2020","52.21","52.50","52.56","49.75","2.40M","5.26%"
"06/15/2020","49.60","46.76","49.92","46.26","2.33M","-0.02%"
"06/12/2020","49.61","51.11","51.71","47.92","2.93M","2.14%"
"06/11/2020","48.57","49.55","51.86","48.21","3.54M","-9.33%"
"06/10/2020","53.57","56.18","56.73","53.54","2.20M","-7.11%"
"06/09/2020","57.67","57.09","58.65","56.40","2.84M","-3.85%"
"06/08/2020","59.98","59.83","60.03","58.01","4.41M","5.17%"
"06/05/2020","57.03","56.00","57.93","55.45","6.35M","8.67%"
"06/04/2020","52.48","51.82","53.23","51.10","1.66M","0.71%"
"06/03/2020","52.11","52.81","52.99","50.66","2.25M","0.72%"
"06/02/2020","51.74","50.08","52.01","49.73","3.17M","6.24%"
"06/01/2020","48.70","47.59","48.94","47.11","2.46M","2.59%"
"05/29/2020","47.47","48.75","48.75","46.48","2.65M","-2.00%"
"05/28/2020","48.44","49.56","49.79","48.33","2.19M","-1.92%"
"05/27/2020","49.39","49.43","49.57","47.34","1.45M","1.56%"
"05/26/2020","48.63","49.07","49.61","48.08","1.93M","3.25%"
"05/22/2020","47.10","46.64","47.19","46.26","1.88M","-0.30%"
"05/21/2020","47.24","47.65","48.20","46.51","1.32M","-0.21%"
"05/20/2020","47.34","47.18","48.37","47.00","1.62M","3.23%"
"05/19/2020","45.86","49.30","49.30","45.76","1.90M","-6.62%"
"05/18/2020","49.11","47.22","50.05","46.92","3.06M","11.44%"
"05/15/2020","44.07","42.45","45.23","42.33","2.60M","3.04%"
"05/14/2020","42.77","41.54","43.89","40.30","2.83M","0.97%"
"05/13/2020","42.36","45.10","46.07","41.88","2.76M","-5.45%"
"05/12/2020","44.80","47.50","47.75","44.59","2.50M","-4.94%"
"05/11/2020","47.13","47.74","48.30","46.82","2.04M","-2.78%"
"05/08/2020","48.48","47.69","48.51","47.11","2.09M","4.48%"
"05/07/2020","46.40","46.90","48.70","45.71","3.00M","3.09%"
"05/06/2020","45.01","46.10","46.65","44.55","2.69M","-2.45%"
"05/05/2020","46.14","49.00","49.18","45.89","2.75M","-0.32%"
"05/04/2020","46.29","43.13","46.72","42.71","3.53M","4.54%"
"05/01/2020","44.28","47.28","47.74","43.97","2.82M","-8.96%"
